sno,age,job,salary,marital,education,housing,loan,,,
1,31,blue-collar,20000,married,secondary,yes,yes,,,
2,23,blue-collar,20000,single,secondary,yes,no,,,
3,32,blue-collar,20000,single,primary,yes,no,,,
4,27,self-employed,60000,single,secondary,yes,no,,,
5,46,blue-collar,20000,married,unknown,yes,no,,,
6,56,retired,55000,married,secondary,no,no,,,
7,36,blue-collar,20000,married,secondary,yes,no,,,
8,43,management,100000,married,tertiary,yes,no,,,
9,53,admin.,50000,married,primary,yes,no,,,
10,40,management,100000,married,secondary,yes,no,,,
11,38,admin.,50000,divorced,secondary,yes,yes,,,
12,36,services,70000,married,secondary,yes,no,,,
13,49,management,100000,married,tertiary,yes,no,,,
14,32,admin.,50000,married,secondary,no,no,,,
15,48,management,100000,married,unknown,yes,no,,,
16,56,blue-collar,20000,married,primary,yes,no,,,
17,47,blue-collar,20000,married,secondary,yes,no,,,
18,51,management,100000,divorced,secondary,yes,no,,,
19,40,management,100000,married,tertiary,yes,no,,,
20,50,blue-collar,20000,divorced,secondary,yes,no,,,
21,37,technician,60000,divorced,secondary,yes,no,,,
22,39,blue-collar,20000,married,secondary,yes,no,,,
23,44,technician,60000,married,secondary,yes,yes,,,
24,48,services,70000,divorced,secondary,yes,no,,,
25,33,management,100000,divorced,tertiary,yes,no,,,
26,48,admin.,50000,married,secondary,no,yes,,,
27,35,management,100000,single,tertiary,no,no,,,
28,31,management,100000,single,secondary,yes,no,,,
29,53,technician,60000,married,unknown,yes,no,,,
30,51,blue-collar,20000,divorced,secondary,yes,no,,,
31,45,services,70000,married,secondary,yes,no,,,
32,43,services,70000,married,secondary,yes,no,,,
33,38,admin.,50000,divorced,secondary,yes,no,,,
34,41,retired,55000,single,primary,no,no,,,
35,29,technician,60000,single,secondary,yes,no,,,
36,37,blue-collar,20000,single,secondary,yes,no,,,
37,50,technician,60000,married,unknown,yes,no,,,
38,49,services,70000,single,secondary,yes,no,,,
39,42,management,100000,married,tertiary,yes,no,,,
40,52,blue-collar,20000,married,unknown,no,no,,,
41,33,blue-collar,20000,single,secondary,yes,no,,,
42,29,technician,60000,married,secondary,yes,no,,,
43,40,self-employed,60000,divorced,tertiary,yes,no,,,
44,38,blue-collar,20000,single,secondary,yes,no,,,
45,58,management,100000,married,tertiary,yes,no,,,
46,36,services,70000,married,secondary,yes,no,,,
47,32,blue-collar,20000,married,secondary,yes,no,,,
48,28,admin.,50000,single,secondary,yes,no,,,
49,36,blue-collar,20000,married,secondary,yes,no,,,
50,37,blue-collar,20000,married,secondary,yes,no,,,
51,46,management,100000,married,secondary,no,no,,,
52,39,blue-collar,20000,married,secondary,yes,no,,,
53,32,blue-collar,20000,married,secondary,yes,no,,,
54,44,admin.,50000,married,secondary,yes,no,,,
55,44,blue-collar,20000,married,secondary,yes,yes,,,
56,46,blue-collar,20000,single,secondary,yes,no,,,
57,37,blue-collar,20000,married,primary,yes,no,,,
58,29,management,100000,single,tertiary,yes,no,,,
59,28,blue-collar,20000,single,secondary,yes,no,,,
60,39,admin.,50000,married,primary,yes,no,,,
61,47,technician,60000,married,primary,no,no,,,
62,29,blue-collar,20000,single,secondary,yes,no,,,
63,35,blue-collar,20000,single,secondary,yes,no,,,
64,33,management,100000,married,tertiary,yes,no,,,
65,34,technician,60000,divorced,secondary,yes,no,,,
66,40,housemaid,16000,single,primary,yes,no,,,
67,37,management,100000,married,tertiary,yes,no,,,
68,36,management,100000,single,secondary,no,no,,,
69,36,services,70000,married,tertiary,yes,no,,,
70,35,services,70000,married,secondary,yes,yes,,,
71,28,student,4000,single,secondary,yes,no,,,
72,42,management,100000,married,tertiary,yes,no,,,
73,41,services,70000,divorced,secondary,yes,no,,,
74,49,technician,60000,divorced,secondary,yes,no,,,
75,43,self-employed,60000,married,secondary,yes,no,,,
76,41,blue-collar,20000,married,primary,yes,no,,,
77,52,blue-collar,20000,married,secondary,yes,no,,,
78,47,services,70000,married,secondary,yes,no,,,
79,46,blue-collar,20000,single,secondary,yes,no,,,
80,37,blue-collar,20000,divorced,secondary,yes,no,,,
81,47,blue-collar,20000,divorced,primary,yes,yes,,,
82,30,technician,60000,divorced,tertiary,yes,no,,,
83,41,entrepreneur,120000,married,tertiary,yes,no,,,
84,45,technician,60000,married,secondary,no,no,,,
85,52,services,70000,married,secondary,yes,no,,,
86,37,management,100000,single,tertiary,yes,no,,,
87,36,management,100000,married,tertiary,yes,no,,,
88,33,admin.,50000,divorced,secondary,yes,no,,,
89,43,services,70000,married,primary,yes,no,,,
90,26,management,100000,single,tertiary,yes,no,,,
91,42,admin.,50000,married,secondary,yes,no,,,
92,37,technician,60000,married,unknown,yes,yes,,,
93,33,admin.,50000,single,tertiary,yes,no,,,
94,41,technician,60000,divorced,secondary,yes,yes,,,
95,37,retired,55000,married,secondary,no,yes,,,
96,45,blue-collar,20000,married,secondary,yes,no,,,
97,41,services,70000,married,secondary,yes,no,,,
98,32,blue-collar,20000,married,secondary,yes,no,,,
99,43,technician,60000,married,secondary,no,yes,,,
100,52,blue-collar,20000,married,secondary,yes,no,,,
101,49,services,70000,married,unknown,yes,no,,,
102,50,blue-collar,20000,married,secondary,yes,no,,,
103,57,management,100000,married,tertiary,yes,yes,,,
104,49,blue-collar,20000,married,secondary,yes,yes,,,
105,34,technician,60000,single,secondary,yes,no,,,
106,46,entrepreneur,120000,married,secondary,yes,no,,,
107,42,blue-collar,20000,married,primary,yes,no,,,
108,53,blue-collar,20000,married,secondary,yes,no,,,
109,32,blue-collar,20000,married,primary,yes,yes,,,
110,50,management,100000,single,tertiary,yes,no,,,
111,54,retired,55000,divorced,secondary,yes,yes,,,
112,36,technician,60000,single,tertiary,yes,no,,,
113,34,management,100000,single,tertiary,yes,no,,,
114,48,services,70000,married,secondary,yes,no,,,
115,39,blue-collar,20000,married,secondary,yes,no,,,
116,46,technician,60000,divorced,secondary,yes,yes,,,
117,43,services,70000,single,secondary,yes,no,,,
118,40,admin.,50000,single,primary,no,no,,,
119,42,management,100000,married,tertiary,yes,yes,,,
120,53,services,70000,married,secondary,yes,no,,,
121,53,technician,60000,single,tertiary,yes,no,,,
122,50,entrepreneur,120000,married,primary,yes,no,,,
123,40,technician,60000,single,secondary,yes,no,,,
124,43,services,70000,divorced,secondary,yes,no,,,
125,34,technician,60000,divorced,secondary,no,no,,,
126,33,management,100000,single,tertiary,yes,no,,,
127,56,management,100000,married,tertiary,yes,no,,,
128,56,blue-collar,20000,divorced,primary,yes,yes,,,
129,36,blue-collar,20000,married,secondary,yes,no,,,
130,36,management,100000,single,tertiary,yes,no,,,
131,40,management,100000,single,tertiary,yes,no,,,
132,40,blue-collar,20000,married,secondary,yes,no,,,
133,40,services,70000,married,unknown,yes,no,,,
134,36,blue-collar,20000,married,secondary,yes,no,,,
135,44,admin.,50000,single,secondary,yes,yes,,,
136,42,self-employed,60000,divorced,tertiary,yes,no,,,
137,26,admin.,50000,single,secondary,yes,no,,,
138,45,admin.,50000,married,unknown,yes,no,,,
139,39,technician,60000,single,secondary,yes,no,,,
140,49,blue-collar,20000,married,secondary,yes,yes,,,
141,46,admin.,50000,divorced,secondary,yes,no,,,
142,33,admin.,50000,divorced,tertiary,no,no,,,
143,38,self-employed,60000,married,primary,yes,no,,,
144,43,blue-collar,20000,married,primary,yes,no,,,
145,37,services,70000,married,secondary,yes,yes,,,
146,43,blue-collar,20000,married,secondary,yes,no,,,
147,39,management,100000,single,tertiary,yes,no,,,
148,40,admin.,50000,married,secondary,yes,no,,,
149,35,services,70000,married,secondary,yes,no,,,
150,52,technician,60000,married,secondary,yes,no,,,
151,59,admin.,50000,married,secondary,yes,yes,,,
152,48,admin.,50000,married,unknown,yes,no,,,
153,34,blue-collar,20000,married,secondary,yes,no,,,
154,37,admin.,50000,married,secondary,yes,no,,,
155,46,management,100000,married,tertiary,yes,no,,,
156,32,blue-collar,20000,single,secondary,yes,no,,,
157,34,housemaid,16000,married,secondary,yes,no,,,
158,56,blue-collar,20000,married,secondary,yes,no,,,
159,30,admin.,50000,married,secondary,yes,no,,,
160,28,services,70000,single,secondary,yes,no,,,
161,46,blue-collar,20000,married,secondary,yes,no,,,
162,44,technician,60000,single,secondary,yes,no,,,
163,36,blue-collar,20000,married,secondary,yes,no,,,
164,33,technician,60000,married,tertiary,yes,no,,,
165,46,blue-collar,20000,married,secondary,yes,no,,,
