Job,Age,Salary,Marital,Education,Housing,Loan,Age_Bucket,,,,,,Response
admin.,59,50000,married,secondary,yes,no,5,,,,,,yes
admin.,56,50000,married,secondary,no,no,5,,,,,,yes
technician,41,60000,married,secondary,yes,no,4,,,,,,yes
services,55,70000,married,secondary,yes,no,5,,,,,,yes
admin.,54,50000,married,tertiary,no,no,5,,,,,,yes
management,42,100000,single,tertiary,yes,yes,4,,,,,,yes
management,56,100000,married,tertiary,yes,yes,5,,,,,,yes
retired,60,55000,divorced,secondary,yes,no,6,,,,,,yes
technician,39,60000,single,unknown,yes,no,3,,,,,,yes
technician,37,60000,married,secondary,yes,no,3,,,,,,yes
admin.,34,50000,married,secondary,no,no,3,,,,,,yes
unemployed,55,8000,divorced,secondary,yes,no,5,,,,,,yes
services,28,70000,single,secondary,yes,no,2,,,,,,yes
technician,30,60000,married,secondary,yes,no,3,,,,,,yes
technician,36,60000,married,secondary,yes,yes,3,,,,,,yes
admin.,37,50000,single,secondary,yes,yes,3,,,,,,yes
blue-collar,45,20000,married,secondary,yes,no,4,,,,,,yes
services,53,70000,divorced,primary,yes,yes,5,,,,,,yes
admin.,38,50000,single,secondary,yes,no,3,,,,,,yes
blue-collar,30,20000,married,secondary,yes,no,3,,,,,,yes
management,29,100000,married,tertiary,yes,yes,2,,,,,,yes
blue-collar,46,20000,single,tertiary,yes,no,4,,,,,,yes
technician,31,60000,single,tertiary,yes,no,3,,,,,,yes
blue-collar,39,20000,married,primary,no,no,3,,,,,,yes
management,35,100000,divorced,tertiary,yes,no,3,,,,,,yes
blue-collar,32,20000,single,primary,yes,no,3,,,,,,yes
services,49,70000,married,secondary,yes,no,4,,,,,,yes
admin.,41,50000,married,secondary,yes,no,4,,,,,,yes
admin.,49,50000,divorced,secondary,yes,yes,4,,,,,,yes
admin.,28,50000,divorced,secondary,yes,no,2,,,,,,yes
management,43,100000,single,tertiary,yes,no,4,,,,,,yes
management,43,100000,divorced,tertiary,yes,no,4,,,,,,yes
blue-collar,43,20000,married,primary,yes,no,4,,,,,,yes
unemployed,37,8000,single,secondary,yes,no,3,,,,,,yes
blue-collar,35,20000,single,secondary,yes,no,3,,,,,,yes
technician,31,60000,single,tertiary,yes,no,3,,,,,,yes
technician,46,60000,married,secondary,yes,no,4,,,,,,yes
blue-collar,43,20000,single,secondary,yes,no,4,,,,,,yes
admin.,31,50000,married,secondary,yes,no,3,,,,,,yes
blue-collar,28,20000,single,secondary,yes,no,2,,,,,,yes
blue-collar,32,20000,married,secondary,yes,no,3,,,,,,yes
technician,60,60000,married,primary,yes,no,6,,,,,,yes
blue-collar,26,20000,single,secondary,yes,no,2,,,,,,yes
blue-collar,40,20000,married,secondary,yes,no,4,,,,,,yes
blue-collar,28,20000,single,secondary,yes,no,2,,,,,,yes
blue-collar,33,20000,divorced,primary,yes,no,3,,,,,,yes
blue-collar,45,20000,married,primary,yes,no,4,,,,,,yes
management,32,100000,single,tertiary,no,no,3,,,,,,yes
blue-collar,35,20000,married,primary,no,no,3,,,,,,yes
management,33,100000,divorced,secondary,yes,no,3,,,,,,yes
management,38,100000,married,tertiary,yes,no,3,,,,,,yes
services,24,70000,single,secondary,yes,no,2,,,,,,yes
retired,54,55000,divorced,tertiary,no,no,5,,,,,,yes
blue-collar,34,20000,divorced,secondary,yes,no,3,,,,,,yes
entrepreneur,23,120000,single,primary,yes,no,2,,,,,,yes
blue-collar,60,20000,married,primary,yes,yes,6,,,,,,yes
management,48,100000,married,tertiary,yes,no,4,,,,,,yes
entrepreneur,45,120000,divorced,tertiary,yes,no,4,,,,,,yes
blue-collar,36,20000,married,secondary,yes,no,3,,,,,,yes
management,52,100000,married,unknown,yes,no,5,,,,,,yes
entrepreneur,37,120000,divorced,secondary,yes,yes,3,,,,,,yes
blue-collar,46,20000,married,primary,yes,no,4,,,,,,yes
blue-collar,35,20000,divorced,primary,yes,no,3,,,,,,yes
technician,43,60000,married,secondary,yes,no,4,,,,,,yes
housemaid,52,16000,married,secondary,yes,no,5,,,,,,yes
technician,53,60000,divorced,primary,yes,no,5,,,,,,yes
blue-collar,48,20000,divorced,primary,yes,no,4,,,,,,yes
blue-collar,41,20000,single,primary,yes,no,4,,,,,,yes
management,39,100000,divorced,tertiary,yes,yes,3,,,,,,yes
retired,59,55000,married,secondary,yes,yes,5,,,,,,yes
blue-collar,41,20000,married,secondary,yes,no,4,,,,,,yes
blue-collar,48,20000,married,secondary,yes,no,4,,,,,,yes
admin.,40,50000,married,secondary,yes,no,4,,,,,,yes
blue-collar,48,20000,married,secondary,yes,no,4,,,,,,yes
retired,60,55000,married,primary,yes,no,6,,,,,,yes
technician,40,60000,single,unknown,yes,no,4,,,,,,yes
technician,57,60000,married,tertiary,no,no,5,,,,,,yes
blue-collar,51,20000,married,secondary,yes,no,5,,,,,,yes
blue-collar,41,20000,divorced,secondary,yes,no,4,,,,,,yes
blue-collar,41,20000,married,secondary,yes,no,4,,,,,,yes
admin.,46,50000,married,secondary,yes,yes,4,,,,,,yes
blue-collar,52,20000,divorced,primary,yes,no,5,,,,,,yes
self-employed,43,60000,single,unknown,no,no,4,,,,,,yes
blue-collar,59,20000,married,primary,yes,no,5,,,,,,yes
blue-collar,44,20000,married,unknown,yes,no,4,,,,,,yes
admin.,49,50000,single,secondary,yes,no,4,,,,,,yes
unknown,49,0,married,primary,yes,yes,4,,,,,,yes
entrepreneur,50,120000,married,primary,yes,no,5,,,,,,yes
services,40,70000,married,primary,yes,no,4,,,,,,yes
admin.,41,50000,married,primary,yes,no,4,,,,,,yes
technician,44,60000,married,tertiary,yes,no,4,,,,,,yes
services,60,70000,single,primary,yes,no,6,,,,,,yes
management,29,100000,married,tertiary,no,no,2,,,,,,yes
